food_class,drug_category,has_interaction,severity,interaction_type,mechanism,matched_ingredients,source
asinan-jakarta,antikonvulsan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
asinan-jakarta,glikosida_jantung,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
asinan-jakarta,xantin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
asinan-jakarta,imunosupresan,1,3,pharmacokinetic,"Senyawa dalam bawang putih menghambat CYP3A4 dan/atau P-glikoprotein, meningkatkan kadar plasma imunosupresan dan risiko nefrotoksisitas",bawang putih,LLM-assisted curation (Claude) + pharmacology literature
ayam-betutu,antikoagulan,1,4,pharmacodynamic,"Vitamin K dan/atau senyawa antiplatelet dalam kunyit, jahe, bawang putih, lengkuas mengganggu efek antikoagulan, meningkatkan risiko perdarahan atau mengurangi efektivitas obat",kunyit|jahe|bawang putih|lengkuas,LLM-assisted curation (Claude) + pharmacology literature
ayam-betutu,antidiabetes,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-betutu,ace_arb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-betutu,ccb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-betutu,statin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-betutu,antibiotik_tetrasiklin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-betutu,antibiotik_fluorokuinolon,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-betutu,maoi,1,4,pharmacodynamic,"Tyramine dalam makanan fermentasi (terasi) tidak dapat dimetabolisme saat MAO diinhibisi, menyebabkan pelepasan norepinefrin masif dan krisis hipertensi",terasi,LLM-assisted curation (Claude) + pharmacology literature
ayam-betutu,tiroid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-betutu,nsaid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-betutu,antikonvulsan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-betutu,glikosida_jantung,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-betutu,xantin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-betutu,imunosupresan,1,3,pharmacokinetic,"Senyawa dalam kunyit, bawang putih menghambat CYP3A4 dan/atau P-glikoprotein, meningkatkan kadar plasma imunosupresan dan risiko nefrotoksisitas",kunyit|bawang putih,LLM-assisted curation (Claude) + pharmacology literature
ayam-bumbu-rujak,antikoagulan,1,4,pharmacodynamic,"Vitamin K dan/atau senyawa antiplatelet dalam kunyit, jahe, bawang putih mengganggu efek antikoagulan, meningkatkan risiko perdarahan atau mengurangi efektivitas obat",kunyit|jahe|bawang putih,LLM-assisted curation (Claude) + pharmacology literature
ayam-bumbu-rujak,antidiabetes,1,4,pharmacodynamic,"Kandungan gula tinggi (gula merah) meningkatkan kadar glukosa darah, mengurangi efektivitas obat antidiabetes dan mengganggu kontrol glikemik",gula merah,LLM-assisted curation (Claude) + pharmacology literature
ayam-bumbu-rujak,ace_arb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-bumbu-rujak,ccb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-bumbu-rujak,statin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-bumbu-rujak,antibiotik_tetrasiklin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-bumbu-rujak,antibiotik_fluorokuinolon,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-bumbu-rujak,maoi,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-bumbu-rujak,tiroid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-bumbu-rujak,nsaid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-bumbu-rujak,antikonvulsan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-bumbu-rujak,glikosida_jantung,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-bumbu-rujak,xantin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-bumbu-rujak,imunosupresan,1,3,pharmacokinetic,"Senyawa dalam kunyit, bawang putih menghambat CYP3A4 dan/atau P-glikoprotein, meningkatkan kadar plasma imunosupresan dan risiko nefrotoksisitas",kunyit|bawang putih,LLM-assisted curation (Claude) + pharmacology literature
ayam-goreng,antikoagulan,1,3,pharmacodynamic,"Vitamin K dan/atau senyawa antiplatelet dalam bawang putih mengganggu efek antikoagulan, meningkatkan risiko perdarahan atau mengurangi efektivitas obat",bawang putih,LLM-assisted curation (Claude) + pharmacology literature
ayam-goreng,antidiabetes,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-goreng,ace_arb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-goreng,ccb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-goreng,statin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-goreng,antibiotik_tetrasiklin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-goreng,antibiotik_fluorokuinolon,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-goreng,maoi,1,4,pharmacodynamic,"Tyramine dalam makanan fermentasi (kecap) tidak dapat dimetabolisme saat MAO diinhibisi, menyebabkan pelepasan norepinefrin masif dan krisis hipertensi",kecap,LLM-assisted curation (Claude) + pharmacology literature
ayam-goreng,tiroid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-goreng,nsaid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-goreng,antikonvulsan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-goreng,glikosida_jantung,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-goreng,xantin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-goreng,imunosupresan,1,3,pharmacokinetic,"Senyawa dalam bawang putih menghambat CYP3A4 dan/atau P-glikoprotein, meningkatkan kadar plasma imunosupresan dan risiko nefrotoksisitas",bawang putih,LLM-assisted curation (Claude) + pharmacology literature
ayam-goreng-lengkuas,antikoagulan,1,4,pharmacodynamic,"Vitamin K dan/atau senyawa antiplatelet dalam kunyit, jahe, bawang putih, lengkuas mengganggu efek antikoagulan, meningkatkan risiko perdarahan atau mengurangi efektivitas obat",kunyit|jahe|bawang putih|lengkuas,LLM-assisted curation (Claude) + pharmacology literature
ayam-goreng-lengkuas,antidiabetes,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-goreng-lengkuas,ace_arb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-goreng-lengkuas,ccb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-goreng-lengkuas,statin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-goreng-lengkuas,antibiotik_tetrasiklin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-goreng-lengkuas,antibiotik_fluorokuinolon,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-goreng-lengkuas,maoi,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-goreng-lengkuas,tiroid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-goreng-lengkuas,nsaid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-goreng-lengkuas,antikonvulsan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-goreng-lengkuas,glikosida_jantung,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-goreng-lengkuas,xantin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
ayam-goreng-lengkuas,imunosupresan,1,3,pharmacokinetic,"Senyawa dalam kunyit, bawang putih menghambat CYP3A4 dan/atau P-glikoprotein, meningkatkan kadar plasma imunosupresan dan risiko nefrotoksisitas",kunyit|bawang putih,LLM-assisted curation (Claude) + pharmacology literature
bakso,antikoagulan,1,3,pharmacodynamic,"Vitamin K dan/atau senyawa antiplatelet dalam bawang putih, daun bawang mengganggu efek antikoagulan, meningkatkan risiko perdarahan atau mengurangi efektivitas obat",bawang putih|daun bawang,LLM-assisted curation (Claude) + pharmacology literature
bakso,antidiabetes,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bakso,ace_arb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bakso,ccb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bakso,statin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bakso,antibiotik_tetrasiklin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bakso,antibiotik_fluorokuinolon,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bakso,maoi,1,4,pharmacodynamic,"Tyramine dalam makanan fermentasi (kecap) tidak dapat dimetabolisme saat MAO diinhibisi, menyebabkan pelepasan norepinefrin masif dan krisis hipertensi",kecap,LLM-assisted curation (Claude) + pharmacology literature
bakso,tiroid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bakso,nsaid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bakso,antikonvulsan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bakso,glikosida_jantung,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bakso,xantin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bakso,imunosupresan,1,3,pharmacokinetic,"Senyawa dalam bawang putih menghambat CYP3A4 dan/atau P-glikoprotein, meningkatkan kadar plasma imunosupresan dan risiko nefrotoksisitas",bawang putih,LLM-assisted curation (Claude) + pharmacology literature
bika-ambon,antikoagulan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bika-ambon,antidiabetes,1,4,pharmacodynamic,"Kandungan gula tinggi (gula pasir, kental manis) meningkatkan kadar glukosa darah, mengurangi efektivitas obat antidiabetes dan mengganggu kontrol glikemik",gula pasir|kental manis,LLM-assisted curation (Claude) + pharmacology literature
bika-ambon,ace_arb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bika-ambon,ccb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bika-ambon,statin,1,3,pharmacokinetic,"Inhibisi CYP3A4 oleh jeruk dan/atau lemak tinggi dari santan (santan) meningkatkan bioavailabilitas statin, meningkatkan risiko miopati dan rhabdomyolysis",santan,LLM-assisted curation (Claude) + pharmacology literature
bika-ambon,antibiotik_tetrasiklin,1,4,pharmacokinetic,"Kalsium dalam kental manis membentuk kompleks chelat dengan tetrasiklin yang tidak dapat diabsorpsi, mengurangi bioavailabilitas antibiotik 50-80%",kental manis,LLM-assisted curation (Claude) + pharmacology literature
bika-ambon,antibiotik_fluorokuinolon,1,4,pharmacokinetic,"Kation divalen (Ca2+, Mg2+) dalam kental manis membentuk chelat dengan fluorokuinolon, mengurangi absorpsi dan efektivitas antibiotik",kental manis,LLM-assisted curation (Claude) + pharmacology literature
bika-ambon,maoi,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bika-ambon,tiroid,1,3,pharmacokinetic,"Isoflavon kedelai dan/atau kalsium dalam kental manis mengganggu absorpsi levothyroxine di saluran cerna, mengurangi efektivitas terapi tiroid",kental manis,LLM-assisted curation (Claude) + pharmacology literature
bika-ambon,nsaid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bika-ambon,antikonvulsan,1,3,pharmacokinetic,"Kalsium dan protein dalam kental manis membentuk kompleks dengan antikonvulsan, mengubah laju absorpsi dan kadar plasma obat",kental manis,LLM-assisted curation (Claude) + pharmacology literature
bika-ambon,glikosida_jantung,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bika-ambon,xantin,1,2,pharmacokinetic,"Kafein dalam santan berkompetisi dengan teofilin pada metabolisme CYP1A2, meningkatkan risiko toksisitas; lemak tinggi mengubah profil absorpsi",santan,LLM-assisted curation (Claude) + pharmacology literature
bika-ambon,imunosupresan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bir-pletok,antikoagulan,1,3,pharmacodynamic,"Vitamin K dan/atau senyawa antiplatelet dalam jahe mengganggu efek antikoagulan, meningkatkan risiko perdarahan atau mengurangi efektivitas obat",jahe,LLM-assisted curation (Claude) + pharmacology literature
bir-pletok,antidiabetes,1,4,pharmacodynamic,"Kandungan gula tinggi (gula pasir) meningkatkan kadar glukosa darah, mengurangi efektivitas obat antidiabetes dan mengganggu kontrol glikemik",gula pasir,LLM-assisted curation (Claude) + pharmacology literature
bir-pletok,ace_arb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bir-pletok,ccb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bir-pletok,statin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bir-pletok,antibiotik_tetrasiklin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bir-pletok,antibiotik_fluorokuinolon,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bir-pletok,maoi,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bir-pletok,tiroid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bir-pletok,nsaid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bir-pletok,antikonvulsan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bir-pletok,glikosida_jantung,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bir-pletok,xantin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bir-pletok,imunosupresan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
biskuit-choco-chips,antikoagulan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
biskuit-choco-chips,antidiabetes,1,3,pharmacodynamic,"Kandungan gula tinggi (gula halus, brown sugar) meningkatkan kadar glukosa darah, mengurangi efektivitas obat antidiabetes dan mengganggu kontrol glikemik",gula halus|brown sugar,LLM-assisted curation (Claude) + pharmacology literature
biskuit-choco-chips,ace_arb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
biskuit-choco-chips,ccb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
biskuit-choco-chips,statin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
biskuit-choco-chips,antibiotik_tetrasiklin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
biskuit-choco-chips,antibiotik_fluorokuinolon,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
biskuit-choco-chips,maoi,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
biskuit-choco-chips,tiroid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
biskuit-choco-chips,nsaid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
biskuit-choco-chips,antikonvulsan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
biskuit-choco-chips,glikosida_jantung,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
biskuit-choco-chips,xantin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
biskuit-choco-chips,imunosupresan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bubur-manado,antikoagulan,1,5,pharmacodynamic,"Vitamin K dan/atau senyawa antiplatelet dalam kangkung, bayam, kemangi mengganggu efek antikoagulan, meningkatkan risiko perdarahan atau mengurangi efektivitas obat",kangkung|bayam|kemangi,LLM-assisted curation (Claude) + pharmacology literature
bubur-manado,antidiabetes,1,2,pharmacodynamic,"Kandungan gula tinggi (gula) meningkatkan kadar glukosa darah, mengurangi efektivitas obat antidiabetes dan mengganggu kontrol glikemik",gula,LLM-assisted curation (Claude) + pharmacology literature
bubur-manado,ace_arb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bubur-manado,ccb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bubur-manado,statin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bubur-manado,antibiotik_tetrasiklin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bubur-manado,antibiotik_fluorokuinolon,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bubur-manado,maoi,1,4,pharmacodynamic,"Tyramine dalam makanan fermentasi (terasi) tidak dapat dimetabolisme saat MAO diinhibisi, menyebabkan pelepasan norepinefrin masif dan krisis hipertensi",terasi,LLM-assisted curation (Claude) + pharmacology literature
bubur-manado,tiroid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bubur-manado,nsaid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bubur-manado,antikonvulsan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bubur-manado,glikosida_jantung,1,3,pharmacodynamic,"Fluktuasi kadar kalium dari kangkung mempengaruhi sensitivitas miokardium terhadap glikosida jantung, meningkatkan risiko aritmia dan toksisitas digitalis",kangkung,LLM-assisted curation (Claude) + pharmacology literature
bubur-manado,xantin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
bubur-manado,imunosupresan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
burger,antikoagulan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
burger,antidiabetes,1,2,pharmacodynamic,"Kandungan gula tinggi (gula) meningkatkan kadar glukosa darah, mengurangi efektivitas obat antidiabetes dan mengganggu kontrol glikemik",gula,LLM-assisted curation (Claude) + pharmacology literature
burger,ace_arb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
burger,ccb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
burger,statin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
burger,antibiotik_tetrasiklin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
burger,antibiotik_fluorokuinolon,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
burger,maoi,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
burger,tiroid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
burger,nsaid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
burger,antikonvulsan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
burger,glikosida_jantung,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
burger,xantin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
burger,imunosupresan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
capcay,antikoagulan,1,3,pharmacodynamic,"Vitamin K dan/atau senyawa antiplatelet dalam bawang putih mengganggu efek antikoagulan, meningkatkan risiko perdarahan atau mengurangi efektivitas obat",bawang putih,LLM-assisted curation (Claude) + pharmacology literature
capcay,antidiabetes,1,4,pharmacodynamic,"Kandungan gula tinggi (gula pasir) meningkatkan kadar glukosa darah, mengurangi efektivitas obat antidiabetes dan mengganggu kontrol glikemik",gula pasir,LLM-assisted curation (Claude) + pharmacology literature
capcay,ace_arb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
capcay,ccb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
capcay,statin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
capcay,antibiotik_tetrasiklin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
capcay,antibiotik_fluorokuinolon,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
capcay,maoi,1,4,pharmacodynamic,"Tyramine dalam makanan fermentasi (kecap) tidak dapat dimetabolisme saat MAO diinhibisi, menyebabkan pelepasan norepinefrin masif dan krisis hipertensi",kecap,LLM-assisted curation (Claude) + pharmacology literature
capcay,tiroid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
capcay,nsaid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
capcay,antikonvulsan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
capcay,glikosida_jantung,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
capcay,xantin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
capcay,imunosupresan,1,3,pharmacokinetic,"Senyawa dalam bawang putih menghambat CYP3A4 dan/atau P-glikoprotein, meningkatkan kadar plasma imunosupresan dan risiko nefrotoksisitas",bawang putih,LLM-assisted curation (Claude) + pharmacology literature
cendol,antikoagulan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
cendol,antidiabetes,1,5,pharmacodynamic,"Kandungan gula tinggi (gula pasir, gula merah, gula aren, kental manis) meningkatkan kadar glukosa darah, mengurangi efektivitas obat antidiabetes dan mengganggu kontrol glikemik",gula pasir|gula merah|gula aren|kental manis,LLM-assisted curation (Claude) + pharmacology literature
cendol,ace_arb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
cendol,ccb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
cendol,statin,1,3,pharmacokinetic,"Inhibisi CYP3A4 oleh jeruk dan/atau lemak tinggi dari santan (santan) meningkatkan bioavailabilitas statin, meningkatkan risiko miopati dan rhabdomyolysis",santan,LLM-assisted curation (Claude) + pharmacology literature
cendol,antibiotik_tetrasiklin,1,4,pharmacokinetic,"Kalsium dalam kental manis membentuk kompleks chelat dengan tetrasiklin yang tidak dapat diabsorpsi, mengurangi bioavailabilitas antibiotik 50-80%",kental manis,LLM-assisted curation (Claude) + pharmacology literature
cendol,antibiotik_fluorokuinolon,1,4,pharmacokinetic,"Kation divalen (Ca2+, Mg2+) dalam kental manis membentuk chelat dengan fluorokuinolon, mengurangi absorpsi dan efektivitas antibiotik",kental manis,LLM-assisted curation (Claude) + pharmacology literature
cendol,maoi,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
cendol,tiroid,1,3,pharmacokinetic,"Isoflavon kedelai dan/atau kalsium dalam kental manis mengganggu absorpsi levothyroxine di saluran cerna, mengurangi efektivitas terapi tiroid",kental manis,LLM-assisted curation (Claude) + pharmacology literature
cendol,nsaid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
cendol,antikonvulsan,1,3,pharmacokinetic,"Kalsium dan protein dalam kental manis membentuk kompleks dengan antikonvulsan, mengubah laju absorpsi dan kadar plasma obat",kental manis,LLM-assisted curation (Claude) + pharmacology literature
cendol,glikosida_jantung,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
cendol,xantin,1,2,pharmacokinetic,"Kafein dalam santan berkompetisi dengan teofilin pada metabolisme CYP1A2, meningkatkan risiko toksisitas; lemak tinggi mengubah profil absorpsi",santan,LLM-assisted curation (Claude) + pharmacology literature
cendol,imunosupresan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
donat,antikoagulan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
donat,antidiabetes,1,4,pharmacodynamic,"Kandungan gula tinggi (gula pasir, gula halus) meningkatkan kadar glukosa darah, mengurangi efektivitas obat antidiabetes dan mengganggu kontrol glikemik",gula pasir|gula halus,LLM-assisted curation (Claude) + pharmacology literature
donat,ace_arb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
donat,ccb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
donat,statin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
donat,antibiotik_tetrasiklin,1,4,pharmacokinetic,"Kalsium dalam susu membentuk kompleks chelat dengan tetrasiklin yang tidak dapat diabsorpsi, mengurangi bioavailabilitas antibiotik 50-80%",susu,LLM-assisted curation (Claude) + pharmacology literature
donat,antibiotik_fluorokuinolon,1,4,pharmacokinetic,"Kation divalen (Ca2+, Mg2+) dalam susu membentuk chelat dengan fluorokuinolon, mengurangi absorpsi dan efektivitas antibiotik",susu,LLM-assisted curation (Claude) + pharmacology literature
donat,maoi,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
donat,tiroid,1,3,pharmacokinetic,"Isoflavon kedelai dan/atau kalsium dalam susu mengganggu absorpsi levothyroxine di saluran cerna, mengurangi efektivitas terapi tiroid",susu,LLM-assisted curation (Claude) + pharmacology literature
donat,nsaid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
